hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP     80,17AJ....153...7521K,1.0,54325.699,A,A,v  ,-11.64,2.0,,,1314484,HIP80
HIP     80,2011A&A...526A.112S,,,,A,V  ,-11.3,2.0,,,1314484,HIP80
HIP     80,2004A&A...418..989N,8.0,,,A,v  ,-11.399999618530273,1.0,,,1314484,HIP80
HIP    305,2004A&A...418..989N,2.0,,,A,v  ,-22.0,1.0,,,1239494,HIP305
HIP    305,2006AstL...32..759G,,,,A,V  ,-21.8,2.0,,,1239494,HIP305
HIP    407,17AJ....153...7521K,1.0,54738.579,A,A,v  ,9.51,2.0,,,3280342,HIP407
HIP    407,2013A&A...552A..64S,,,,A,z  ,12.351,3.0,,,3280342,HIP407
HIP    407,2006AstL...32..759G,,,,A,V  ,12.3,2.0,,,3280342,HIP407
HIP    407,2004A&A...418..989N,4.0,,,A,v  ,12.100000381469727,1.0,,,3280342,HIP407
HIP    699,2013A&A...552A..64S,,,,A,z  ,-15.116,3.0,,,1543921,HIP699
HIP    699,2005PASJ...57...13T,,,,,v  ,-13.8,1.0,,,1543921,HIP699
HIP    699,2004A&A...418..989N,20.0,,,A,v  ,-15.199999809265137,1.0,,,1543921,HIP699
HIP    699,2002ApJS..141..503N,,,,A,V  ,-15.1,2.0,,,1543921,HIP699
HIP    699,1953GCRV..C......0W,12.0,,,A,v  ,-13.800000190734863,1.0,,##,1543921,HIP699
HIP    699,1950ApJ...111..221W,3.0,,,,v  ,-14.0,1.0,,,1543921,HIP699
HIP    699,1933PDAO....6..149H,5.0,,,,v  ,-14.899999618530273,1.0,,,1543921,HIP699
HIP    699,1932MNRAS..92..771S,4.0,,,,v  ,-14.0,1.0,,,1543921,HIP699
HIP    768,2007A&A...465..271R,,,,A,v  ,-31.0,1.0,,,1461703,HIP768
HIP    768,1950ApJ...112...48M,2.0,,,,v  ,-24.0,1.0,,,1461703,HIP768
HIP    768,1953GCRV..C......0W,2.0,,,C,v  ,-24.0,0.0,,##,1461703,HIP768
HIP    768,2004A&A...418..989N,3.0,,,A,v  ,-31.0,1.0,,,1461703,HIP768
HIP    768,2006AstL...32..759G,,,,A,V  ,-30.9,2.0,,,1461703,HIP768
HIP    910,1928AnCap..10h...1J,4.0,,,,v  ,13.899999618530273,1.0,,,1304559,HIP910
HIP    910,1928PLicO..16....1C,5.0,,,,v  ,15.0,1.0,,,1304559,HIP910
HIP    910,1929ApJ....70..207A,4.0,,,,v  ,13.699999809265137,1.0,,,1304559,HIP910
HIP    910,1953GCRV..C......0W,13.0,,,A,v  ,14.800000190734863,1.0,,##,1304559,HIP910
HIP    910,1963RGOB...77..381E,2.0,,,,v  ,16.0,1.0,,,1304559,HIP910
HIP    910,1967POHP....9...16.,2.0,,,,v  ,14.899999618530273,1.0,,,1304559,HIP910
HIP    910,1979IAUS...30...57E,47.0,,,A,v  ,14.399999618530273,1.0,,##,1304559,HIP910
HIP    910,2004A&A...418..989N,228.0,,,A,v  ,14.899999618530273,1.0,,,1304559,HIP910
HIP    910,2005PASJ...57...13T,,,,,v  ,14.4,1.0,,,1304559,HIP910
HIP    910,2010A&A...521A..12M,,,D,,V  ,16.7,2.0,,,1304559,HIP910
HIP    910,2010A&A...521A..12M,,,,A,V  ,14.81,2.0,,,1304559,HIP910
HIP    950,2007A&A...465..271R,,,,A,v  ,-1.6,1.0,,,1209190,HIP950
HIP    950,1913LicOB...7..113C,1.0,,,,v  ,-1.0,1.0,,,1209190,HIP950
HIP    950,1928PLicO..16....1C,6.0,,,,v  ,-1.399999976158142,1.0,,,1209190,HIP950
HIP    950,1953GCRV..C......0W,7.0,,,A,v  ,-1.7000000476837158,1.0,,##,1209190,HIP950
HIP    950,1999VeARI..35....1W,,,,,v  ,-2.200000047683716,1.0,,,1209190,HIP950
HIP    950,2004A&A...418..989N,1.0,,,A,v  ,-21.100000381469727,1.0,,,1209190,HIP950
HIP    950,2007A&A...475..519H,,,,A,V  ,-21.1,2.0,,,1209190,HIP950
HIP   1128,2004A&A...418..989N,7.0,,,A,v  ,-24.600000381469727,1.0,,,1314825,HIP1128
HIP   1128,2011A&A...526A.112S,,,,A,V  ,-24.34,2.0,,,1314825,HIP1128
HIP   1349,1961RGOB...44..351E,5.0,,,,v  ,-9.0,1.0,,,3262421,HIP1349
HIP   1349,1970MNRAS.147..355B,26.0,,,,v  ,-14.300000190734863,1.0,,O,3262421,HIP1349
HIP   1349,1979IAUS...30...57E,5.0,,,C,v  ,-9.0,0.0,,##,3262421,HIP1349
HIP   1349,2004A&A...418..989N,31.0,,,B,v  ,-11.399999618530273,1.0,,,3262421,HIP1349
HIP   1349,2006AstL...32..759G,,,,B,V  ,-11.7,2.0,,,3262421,HIP1349
HIP   1599,1963RGOB...77..381E,2.0,,,,v  ,8.899999618530273,1.0,,,3280716,HIP1599
HIP   1599,1965MNRAS.131...95P,3.0,,,,v  ,6.400000095367432,1.0,,,3280716,HIP1599
HIP   1599,1968MNRAS.139..341B,1.0,,,,v  ,9.100000381469727,1.0,,,3280716,HIP1599
HIP   1599,1970MNRAS.148..489F,3.0,,,,v  ,10.5,1.0,,,3280716,HIP1599
HIP   1599,1979IAUS...30...57E,37.0,,,A,v  ,8.800000190734863,1.0,,##,3280716,HIP1599
HIP   1599,1999VeARI..35....1W,,,,,v  ,9.399999618530273,1.0,,,3280716,HIP1599
HIP   1599,2004A&A...418..989N,11.0,,,A,v  ,9.100000381469727,1.0,,,3280716,HIP1599
HIP   1599,2004A&A...420..183A,,,,C,v  ,8.9,1.0,,,3280716,HIP1599
HIP   1599,2005ApJS..159..141V,,,,A,V  ,8.8,2.0,,,3280716,HIP1599
HIP   1599,2010A&A...521A..12M,,,D,,V  ,10.47,2.0,,,3280716,HIP1599
HIP   1599,2007A&A...465..271R,,,,A,v  ,9.1,1.0,,,3280716,HIP1599
HIP   1599,1911PLicO...9...71W,6.0,,,,v  ,9.199999809265137,1.0,,,3280716,HIP1599
HIP   1599,1913LicOB...7..113C,1.0,,,,v  ,9.300000190734863,1.0,,,3280716,HIP1599
HIP   1599,1919ApJ....50..161L,4.0,,,,v  ,9.699999809265137,1.0,,,3280716,HIP1599
HIP   1599,1928AnCap..10h...1J,8.0,,,,v  ,7.0,1.0,,,3280716,HIP1599
HIP   1599,1928PLicO..16....1C,4.0,,,,v  ,9.300000190734863,1.0,,,3280716,HIP1599
HIP   1599,1953GCRV..C......0W,17.0,,,A,v  ,8.699999809265137,1.0,,##,3280716,HIP1599
