row_id,tgas_row,name
0,1310720,TYC 8036-1001-1
1,16385,TYC 1772-508-1
2,32772,TYC 2911-1339-1
3,314791,TYC 2058-500-1
4,1523720,HIP 30423
5,365911,TYC 3836-882-1
6,1452717,TYC 8225-703-1
7,1048592,TYC 870-613-1
8,1155075,TYC 1600-2147-1
9,213012,TYC 2995-134-1
10,589845,TYC 2681-443-1
11,999446,HIP 57227
12,2048029,HIP 99314
13,753694,HIP 4243
14,458757,TYC 2735-1142-1
15,65570,HIP 6342
16,376867,HIP 82214
17,394441,TYC 4557-882-1
18,163879,TYC 4029-28-1
19,1809082,HIP 83159
20,655403,HIP 104355
21,1277996,TYC 8082-63-1
22,1900591,TYC 6754-1347-1
23,1355185,TYC 9192-1123-1
24,1376306,TYC 8950-174-1
25,770099,TYC 2779-86-1
26,1327163,HIP 5610
27,1884220,HIP 59947
28,1998910,HIP 101787
29,1163327,TYC 400-1048-1
30,639041,TYC 3180-1486-1
31,817804,TYC 5899-26-1
32,786499,TYC 6529-1259-1
33,1998917,HIP 101972
34,16454,TYC 1785-155-1
35,1210611,HIP 93020
36,360521,HIP 59253
37,1835082,HIP 77665
38,769249,TYC 2267-640-1
39,1966157,TYC 8463-820-1
40,475214,TYC 2748-806-1
41,16465,HIP 12926
42,1245266,TYC 9377-1166-1
43,262227,TYC 3424-310-1
44,2031700,HIP 104027
45,1376341,TYC 8950-1447-1
46,1378100,TYC 8964-488-1
47,1392730,TYC 9197-731-1
48,2031708,TYC 7965-704-1
49,147549,TYC 4327-897-1
50,344159,TYC 3878-2340-1
51,1540195,TYC 8135-2954-1
52,1310820,TYC 8040-466-1
53,933989,TYC 66-794-1
54,740335,HIP 106488
55,1884264,TYC 7757-195-1
56,1982573,TYC 9063-1461-1
57,1982574,TYC 9063-1823-1
58,389095,TYC 4414-615-1
59,1048688,HIP 57007
60,1884273,TYC 7756-960-1
61,1884274,TYC 7756-960-2
62,1130611,TYC 5119-6-1
63,1557592,TYC 7148-3867-1
64,1572985,TYC 7621-779-1
65,16508,HIP 13081
66,1704061,TYC 9040-1486-1
67,1917054,TYC 5602-721-1
68,360577,TYC 3020-1497-1
69,1982597,TYC 9072-1978-1
70,16518,HIP 14080
71,346817,HIP 82407
72,1654921,TYC 5984-708-1
73,1363917,TYC 9211-2482-1
74,1835147,TYC 6790-638-1
75,1048716,TYC 863-50-1
76,344205,TYC 3879-717-1
77,1266261,HIP 13854
78,5485,HIP 19504
79,112391,TYC 3657-977-1
80,80853,TYC 2841-1448-1
81,69837,TYC 2281-133-1
82,344211,TYC 3878-75-1
83,1327252,TYC 6425-2476-1
84,1327253,TYC 6425-219-1
85,1364463,TYC 9230-1517-1
86,1015847,TYC 5518-332-1
87,704670,HIP 3423
88,1403589,TYC 8561-1602-1
89,1278112,TYC 8505-1560-1
90,1048737,TYC 870-282-1
91,468100,TYC 2756-1991-1
92,649926,TYC 3581-397-1
93,535990,TYC 3996-380-1
94,1851566,TYC 8649-1373-1
95,895688,TYC 188-1859-1
96,14736,TYC 1757-1968-1
97,164019,TYC 4024-1577-1
98,1884340,HIP 60239
99,934069,TYC 64-1073-1
100,1343670,TYC 5283-823-1
101,1519847,TYC 6626-1286-1
102,1373556,TYC 8954-223-1
