name,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref
TYC 8082-63-1,17AJ....153...7521K,1.0,55519.627,B,B,v  ,12.01,2.0,,,3012043.0
TYC 6754-1347-1,17AJ....153...7521K,1.0,54673.365,B,B,v  ,-49.15,2.0,,,2298060.0
HIP 101787,2004A&A...418..989N,1.0,,,C,v  ,-12.199999809265137,1.0,,,3515023.0
HIP 101787,2006AstL...32..759G,,,,C,V  ,-12.4,2.0,,,3515023.0
TYC 5899-26-1,2012ApJ...758...56S,,,,,v  ,27.9,1.0,,,738151.0
TYC 5899-26-1,2010AJ....140..119S,,,,B,v  ,26.7,1.0,,,738151.0
TYC 6529-1259-1,2006A&A...460..695T,1.0,,,,v  ,40.0,0.0,,,915666.0
HIP 101972,2000VeARI..37....1W,,,,,v  ,1.0,1.0,,,3515028.0
HIP 101972,2007AN....328..889K,,,,D,V  ,1.0,2.0,,,3515028.0
TYC 8463-820-1,17AJ....153...7521K,1.0,54689.656,C,C,v  ,11.29,2.0,,,7588453.0
TYC 9377-1166-1,17AJ....153...7521K,1.0,55170.522,B,B,v  ,-1.75,2.0,,,3225548.0
TYC 8040-466-1,17AJ....153...7521K,1.0,55415.754,B,B,v  ,0.1,2.0,,,7504974.0
TYC 5602-721-1,17AJ....153...7521K,1.0,52837.481,C,C,v  ,-3.19,2.0,,,2558567.0
TYC 5602-721-1,2008AJ....136..421Z,1.0,,,B,v  ,-3.5999999046325684,1.0,,,2558567.0
TYC 6425-2476-1,17AJ....153...7521K,1.0,54372.601,B,B,v  ,14.93,2.0,,,1279174.0
TYC 5518-332-1,17AJ....153...7521K,1.0,53857.427,B,B,v  ,13.12,2.0,,,7154610.0
TYC 8505-1560-1,17AJ....153...7521K,1.0,54372.715,A,A,v  ,0.77,2.0,,,3025633.0
TYC 4938-998-1,17AJ....153...7521K,1.0,53843.499,B,B,v  ,3.13,2.0,,,1871607.0
TYC 9327-36-1,17AJ....153...7521K,1.0,52919.453,C,C,v  ,-11.12,2.0,,,7729944.0
HIP 106635,1956PDDO....2..105H,4.0,,,,v  ,-2.700000047683716,1.0,,,1507586.0
HIP 106635,2006AstL...32..759G,,,,B,V  ,-5.7,2.0,,,1507586.0
TYC 7950-1102-1,17AJ....153...7521K,1.0,54641.611,B,B,v  ,-8.21,2.0,,,3530564.0
TYC 7813-224-1,2006A&A...460..695T,1.0,,,,v  ,7.0,1.0,,,3454877.0
TYC 5329-1942-1,17AJ....153...7521K,1.0,54502.413,B,B,v  ,47.91,2.0,,,751459.0
TYC 4946-776-1,17AJ....153...7521K,1.0,53857.427,B,B,v  ,25.42,2.0,,,1891846.0
TYC 5602-4-1,17AJ....153...7521K,1.0,55413.351,B,B,v  ,-36.93,2.0,,,7159656.0
HIP 104062,1996BICDS..48...11F,3.0,,,,v  ,-21.0,0.0,,,93841.0
HIP 104062,2007AN....328..889K,,,,E,V  ,-21.0,2.0,,,93841.0
TYC 8033-921-1,17AJ....153...7521K,1.0,55821.636,B,B,v  ,46.09,2.0,,,7504372.0
TYC 8297-1613-1,2006A&A...460..695T,1.0,,,,v  ,7.699999809265137,1.0,,,3456392.0
TYC 5622-948-1,17AJ....153...7521K,1.0,54554.769,B,B,v  ,74.27,2.0,,,2559556.0
TYC 5857-100-1,17AJ....153...7521K,1.0,54325.759,B,B,v  ,16.8,2.0,,,1279713.0
TYC 7810-993-1,17AJ....153...7521K,1.0,55979.759,C,C,v  ,-2.0,2.0,,,7467621.0
HIP 106035,17AJ....153...7521K,1.0,55323.742,A,A,v  ,23.33,2.0,,,3350602.0
TYC 9373-568-1,17AJ....153...7521K,1.0,54761.638,A,A,v  ,18.2,2.0,,,3210365.0
TYC 5244-262-1,17AJ....153...7521K,1.0,54056.404,A,A,v  ,-2.88,2.0,,,1365897.0
TYC 5854-1223-1,17AJ....153...7521K,1.0,54681.812,B,B,v  ,59.01,2.0,,,1279603.0
HIP 107313,1956PDDO....2..105H,4.0,,,,v  ,-45.20000076293945,1.0,,,1507702.0
HIP 107313,2004A&A...418..989N,3.0,,,A,v  ,-49.0,1.0,,,1507702.0
HIP 107313,2008A&A...480...91S,,,,A,V  ,-48.54,2.0,,,1507702.0
HIP 103895,2002AJ....124.1144L,11.0,,,A,v  ,-9.210000038146973,2.0,,,59153.0
HIP 103895,2002AJ....124.1144L,,,,A,V  ,-9.21,2.0,,,59153.0
HIP 116376,2011A&A...531A...8J,,,,B,v  ,-3.8,1.0,,,1255390.0
TYC 5600-982-1,17AJ....153...7521K,1.0,53830.699,D,D,v  ,24.92,2.0,,,2578785.0
TYC 5600-630-1,17AJ....153...7521K,1.0,53863.582,B,B,v  ,-4.26,2.0,,,7159581.0
